# Analytic Sedov solution at t = 0.1 for a cylindrical geometry with
# gamma = 1.4.  This was created using Frank Timmes' sedov3.f routine
# from http://www.cococubed.com/code_pages/sedov.shtml
#
# The following parameters were set:
#      nstep = 120
#      eblast = 1.0
#      xgeom  = 2.0q0
#      omega  = 0.0q0
#      outfile = 'cylindrical_sedov.dat'
#
#      time   = 0.1q0
#      rho0   = 1.0q0
#      vel0   = 0.0q0
#      ener0  = 0.0q0
#      pres0  = 0.0q0
#      cs0    = 0.0q0
#      gamma  = 1.4q0
#   i   x             den           ener          pres          vel           cs
   22  2.150000E-01  2.967181E-01  6.970701E+00  8.273332E-01  7.770743E-01  1.975751E+00
   23  2.250000E-01  3.812262E-01  5.540394E+00  8.448574E-01  8.168257E-01  1.761426E+00
   24  2.350000E-01  4.886310E-01  4.443937E+00  8.685782E-01  8.580397E-01  1.577531E+00
   25  2.450000E-01  6.266165E-01  3.593377E+00  9.006678E-01  9.011386E-01  1.418552E+00
   26  2.550000E-01  8.066857E-01  2.926179E+00  9.442028E-01  9.466284E-01  1.280102E+00
   27  2.650000E-01  1.046691E+00  2.397214E+00  1.003657E+00  9.950975E-01  1.158637E+00
   28  2.750000E-01  1.375429E+00  1.973437E+00  1.085729E+00  1.047199E+00  1.051249E+00
   29  2.850000E-01  1.841377E+00  1.630289E+00  1.200791E+00  1.103609E+00  9.554903E-01
   30  2.950000E-01  2.530179E+00  1.349227E+00  1.365515E+00  1.164950E+00  8.692338E-01
   31  3.050000E-01  3.602007E+00  1.116010E+00  1.607951E+00  1.231685E+00  7.905478E-01
   32  3.150000E-01  5.378032E+00  9.195077E-01  1.978057E+00  1.303988E+00  7.175823E-01
   33  3.250000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   34  3.350000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   35  3.450000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   36  3.550000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   37  3.650000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   38  3.750000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   39  3.850000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   40  3.950000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   41  4.050000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   42  4.150000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   43  4.250000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   44  4.350000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   45  4.450000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   46  4.550000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   47  4.650000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   48  4.750000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   49  4.850000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   50  4.950000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   51  5.050000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   52  5.150000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   53  5.250000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   54  5.350000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   55  5.450000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   56  5.550000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   57  5.650000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   58  5.750000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   59  5.850000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   60  5.950000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   61  6.050000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   62  6.150000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   63  6.250000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   64  6.350000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   65  6.450000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   66  6.550000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   67  6.650000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   68  6.750000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   69  6.850000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   70  6.950000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   71  7.050000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   72  7.150000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   73  7.250000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   74  7.350000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   75  7.450000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   76  7.550000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   77  7.650000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   78  7.750000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   79  7.850000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   80  7.950000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   81  8.050000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   82  8.150000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   83  8.250000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   84  8.350000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   85  8.450000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   86  8.550000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   87  8.650000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   88  8.750000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   89  8.850000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   90  8.950000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   91  9.050000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   92  9.150000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   93  9.250000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   94  9.350000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   95  9.450000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   96  9.550000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   97  9.650000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   98  9.750000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   99  9.850000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  100  9.950000E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  101  1.005000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  102  1.015000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  103  1.025000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  104  1.035000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  105  1.045000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  106  1.055000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  107  1.065000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  108  1.075000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  109  1.085000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  110  1.095000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  111  1.105000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  112  1.115000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  113  1.125000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  114  1.135000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  115  1.145000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  116  1.155000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  117  1.165000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  118  1.175000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  119  1.185000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  120  1.195000E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
